id,setor,soma_associados,cor_node,cnae_fiscal_principal
21403781,68 - Atividades Imobiliárias,6,red,6810202
37022648,Outros,12,yellow,4681802
07336180,68 - Atividades Imobiliárias,7,red,6810202
16553252,Outros,3,yellow,9313100
04228531,Outros,9,yellow,4930203
56197605,42 - Obras de Infraestrutura,18,blue,4211101
40593909,Outros,15,yellow,6462000
22983316,42 - Obras de Infraestrutura,9,blue,4211101
31211327,Outros,23,yellow,6491300
33615435,Outros,5,yellow,0220903
30181304,Outros,13,yellow,2330305
11161172,Outros,10,yellow,8211300
63851000,68 - Atividades Imobiliárias,23,red,6810202
52683891,Outros,10,yellow,4729699
52904599,Outros,31,yellow,6462000
23427281,41 - Construção de Edifícios,13,green,4110700
08762127,Outros,10,yellow,4731800
38244840,42 - Obras de Infraestrutura,12,blue,4211101
02547285,41 - Construção de Edifícios,5,green,4120400
23319181,Outros,6,yellow,8513900
50296978,Outros,17,yellow,6462000
34903229,41 - Construção de Edifícios,7,green,4120400
05783082,41 - Construção de Edifícios,8,green,4120400
13603497,41 - Construção de Edifícios,7,green,4120400
27520027,Outros,7,yellow,4782201
02341176,Outros,6,yellow,5239799
21051472,41 - Construção de Edifícios,23,green,4110700
43691330,Outros,17,yellow,6462000
09404683,Outros,14,yellow,8610101
07090782,Outros,6,yellow,4399103
04521575,41 - Construção de Edifícios,5,green,4120400
06696322,41 - Construção de Edifícios,5,green,4120400
44374020,41 - Construção de Edifícios,19,green,4110700
46881535,Outros,26,yellow,0151201
08966851,41 - Construção de Edifícios,35,green,4110700
04898698,Outros,18,yellow,4711302
13251309,41 - Construção de Edifícios,9,green,4110700
33102290,Outros,4,yellow,8630503
19210249,Outros,6,yellow,7319002
43092012,68 - Atividades Imobiliárias,18,red,6810203
51235640,Outros,6,yellow,4645101
37841374,Outros,5,yellow,5320202
06048986,Outros,6,yellow,9602502
30866642,Outros,12,yellow,4691500
57486261,41 - Construção de Edifícios,14,green,4110700
14142921,Outros,31,yellow,0162899
48528560,Outros,27,yellow,6462000
39350516,Outros,10,yellow,5611201
41019135,Outros,9,yellow,3313999
41449903,68 - Atividades Imobiliárias,9,red,6810202
17587264,Outros,14,yellow,7911200
22337116,Outros,7,yellow,4712100
42480597,Outros,6,yellow,9603301
36905323,Outros,11,yellow,8630503
31872330,Outros,5,yellow,0710301
54885487,42 - Obras de Infraestrutura,25,blue,4291000
34396959,Outros,15,yellow,4731800
03915112,68 - Atividades Imobiliárias,6,red,6810202
42507899,41 - Construção de Edifícios,34,green,4110700
21848243,41 - Construção de Edifícios,18,green,4120400
02995881,42 - Obras de Infraestrutura,8,blue,4211101
10942627,Outros,10,yellow,8599604
20663960,68 - Atividades Imobiliárias,16,red,6810202
49022989,41 - Construção de Edifícios,6,green,4120400
41146559,Outros,5,yellow,4744001
37814743,Outros,6,yellow,8599604
25257333,Outros,58,yellow,7490199
05639153,Outros,12,yellow,4781400
21490094,41 - Construção de Edifícios,8,green,4110700
05878896,Outros,11,yellow,4744099
04938437,Outros,10,yellow,8610102
48534725,68 - Atividades Imobiliárias,34,red,6810201
20174961,68 - Atividades Imobiliárias,10,red,6821801
46286669,Outros,11,yellow,6463800
31481031,41 - Construção de Edifícios,5,green,4120400
50124913,Outros,24,yellow,6462000
11566218,Outros,13,yellow,4712100
02230061,Outros,9,yellow,8520100
11076908,41 - Construção de Edifícios,23,green,4120400
52610053,68 - Atividades Imobiliárias,27,red,6810201
41260285,Outros,7,yellow,7112000
14839089,Outros,6,yellow,7112000
34192343,41 - Construção de Edifícios,12,green,4120400
41542130,Outros,8,yellow,4930202
57247625,Outros,8,yellow,4930202
34309741,Outros,3,yellow,7112000
05513855,41 - Construção de Edifícios,2,green,4110700
45578249,68 - Atividades Imobiliárias,12,red,6810202
38321181,Outros,2,yellow,4530703
42932312,41 - Construção de Edifícios,20,green,4110700
14556222,Outros,3,yellow,7112000
08207772,Outros,5,yellow,1032501
17252899,68 - Atividades Imobiliárias,14,red,6810202
11234395,41 - Construção de Edifícios,7,green,4110700
15170751,68 - Atividades Imobiliárias,3,red,6810202
09110955,41 - Construção de Edifícios,59,green,4110700
03458174,41 - Construção de Edifícios,9,green,4120400
09163060,Outros,2,yellow,4744099
00791212,Outros,10,yellow,5223100
30090866,68 - Atividades Imobiliárias,3,red,6810201
08436007,Outros,7,yellow,6462000
19532039,Outros,40,yellow,6462000
04579488,Outros,6,yellow,8610102
04352504,41 - Construção de Edifícios,5,green,4120400
10516075,68 - Atividades Imobiliárias,6,red,6810201
48429715,Outros,5,yellow,7490104
23614691,Outros,11,yellow,6463800
12534508,Outros,9,yellow,4731800
31975245,41 - Construção de Edifícios,11,green,4110700
51861009,Outros,12,yellow,8630599
43574893,41 - Construção de Edifícios,3,green,4120400
19046130,Outros,24,yellow,8650099
54229231,41 - Construção de Edifícios,23,green,4110700
55597833,Outros,9,yellow,4321500
55957988,Outros,4,yellow,4329104
22860105,68 - Atividades Imobiliárias,7,red,6822600
47442676,Outros,5,yellow,4689301
10293789,Outros,2,yellow,5620101
50086253,Outros,17,yellow,1099604
42078747,Outros,3,yellow,7119702
13706299,68 - Atividades Imobiliárias,5,red,6810201
29435338,68 - Atividades Imobiliárias,10,red,6810201
10899584,41 - Construção de Edifícios,14,green,4120400
25150035,Outros,12,yellow,4930202
12676701,68 - Atividades Imobiliárias,36,red,6810201
11508947,41 - Construção de Edifícios,19,green,4120400
07869058,Outros,18,yellow,8299799
45357063,68 - Atividades Imobiliárias,2,red,6810202
30107701,68 - Atividades Imobiliárias,8,red,6810202
20686836,68 - Atividades Imobiliárias,10,red,6810202
38651976,Outros,5,yellow,1623400
51527404,Outros,7,yellow,4744001
05726796,Outros,5,yellow,7020400
01287351,Outros,3,yellow,0151201
41604880,42 - Obras de Infraestrutura,18,blue,4211101
28154395,Outros,12,yellow,5590699
07637324,Outros,9,yellow,4691500
04503910,41 - Construção de Edifícios,9,green,4120400
53056705,Outros,12,yellow,7740300
18516869,41 - Construção de Edifícios,27,green,4120400
31646791,Outros,4,yellow,4729699
26341686,Outros,19,yellow,1033301
40341393,Outros,5,yellow,4712100
57043963,Outros,11,yellow,4639701
09528663,68 - Atividades Imobiliárias,3,red,6810202
09269331,Outros,12,yellow,1121600
54337634,41 - Construção de Edifícios,32,green,4110700
18677248,Outros,6,yellow,4541206
53650948,Outros,5,yellow,4679699
03469173,Outros,7,yellow,5611201
08246259,Outros,5,yellow,8011101
42319873,Outros,5,yellow,4751201
39642901,68 - Atividades Imobiliárias,19,red,6810202
31205691,41 - Construção de Edifícios,23,green,4110700
04993390,Outros,28,yellow,6010100
50720539,Outros,4,yellow,3511501
10243905,41 - Construção de Edifícios,47,green,4120400
44459996,Outros,6,yellow,6491300
04717641,41 - Construção de Edifícios,12,green,4120400
02857897,Outros,17,yellow,6141800
10716210,68 - Atividades Imobiliárias,20,red,6810201
05994636,Outros,11,yellow,4721103
24299929,Outros,4,yellow,9329804
17086225,68 - Atividades Imobiliárias,18,red,6810203
57363999,41 - Construção de Edifícios,23,green,4110700
11447622,41 - Construção de Edifícios,5,green,4120400
12193763,41 - Construção de Edifícios,6,green,4120400
07910811,Outros,26,yellow,4755501
32434747,41 - Construção de Edifícios,5,green,4110700
38651268,41 - Construção de Edifícios,24,green,4110700
06333651,Outros,12,yellow,4731800
09263861,Outros,6,yellow,6920601
18284403,41 - Construção de Edifícios,2,green,4120400
22414625,Outros,4,yellow,9313100
24576409,42 - Obras de Infraestrutura,8,blue,4222701
24379921,Outros,4,yellow,8630502
07778090,41 - Construção de Edifícios,53,green,4110700
58171437,Outros,17,yellow,7732201
27964315,68 - Atividades Imobiliárias,7,red,6821801
35127803,Outros,5,yellow,6203100
09166032,68 - Atividades Imobiliárias,5,red,6822600
13897581,Outros,30,yellow,4693100
83310177,41 - Construção de Edifícios,6,green,4120400
57262161,Outros,10,yellow,2421100
51218898,Outros,5,yellow,5211701
07791787,Outros,40,yellow,4311802
01635958,Outros,4,yellow,4611700
17766552,41 - Construção de Edifícios,3,green,4120400
39856461,Outros,5,yellow,4744099
08783767,Outros,14,yellow,5510801
12645993,Outros,13,yellow,1041400
14773658,41 - Construção de Edifícios,4,green,4110700
05753671,Outros,12,yellow,7112000
17192091,41 - Construção de Edifícios,5,green,4120400
08759700,Outros,6,yellow,4744099
14133060,Outros,6,yellow,6462000
04111209,Outros,15,yellow,4731800
25316468,42 - Obras de Infraestrutura,22,blue,4222701
37181061,42 - Obras de Infraestrutura,2,blue,4292802
43732484,Outros,3,yellow,4645101
10320549,68 - Atividades Imobiliárias,13,red,6822600
39329738,Outros,9,yellow,4641901
57274451,41 - Construção de Edifícios,27,green,4120400
41521896,Outros,4,yellow,4781400
01914777,Outros,5,yellow,9430800
07880593,Outros,3,yellow,9430800
04442655,42 - Obras de Infraestrutura,6,blue,4211101
83655282,Outros,3,yellow,4789001
05518819,Outros,7,yellow,4744005
12218992,Outros,14,yellow,9499500
14469777,Outros,5,yellow,8550301
03102181,Outros,6,yellow,4530703
05123318,Outros,3,yellow,9430800
48967438,Outros,3,yellow,8550301
06217477,Outros,10,yellow,4731800
03654033,Outros,16,yellow,6462000
22974380,Outros,6,yellow,4399104
36715003,Outros,3,yellow,9499500
04980461,42 - Obras de Infraestrutura,3,blue,4222701
52663521,Outros,9,yellow,8011101
05157306,Outros,7,yellow,9430800
